L,v0,C,t,angle,velocity,accel
0.25,1.25,0.15000000000000002,0.24,0.8541020081162662,-6.310497565092254,-16.965232379839396
0.25,1.25,0.15000000000000002,0.26,0.7247691392244431,-6.608891573180348,-12.796870291458108
0.25,1.25,0.15000000000000002,0.28,0.5903317735264086,-6.819527569649097,-8.203368042901392
0.25,1.25,0.15000000000000002,0.3,0.45262375736144156,-6.934891025517106,-3.290913299014404
0.25,1.25,0.15000000000000002,0.32,0.3136051955559386,-6.9500028778319,1.7948583411840282
0.25,1.25,0.15000000000000002,0.34,0.175304647622187,-6.863083276936265,6.882391763873272
0.25,1.25,0.15000000000000002,0.36,0.039751116510687835,-6.675893661714613,11.792364274656643
0.25,1.25,0.15000000000000002,0.38,-0.09109702580924538,-6.393696819389618,16.35709884736602
0.25,1.25,0.15000000000000002,0.4,-0.2154185409442623,-6.024847697024366,20.437493164224676
0.25,1.25,0.15000000000000002,0.42,-0.3315845818647048,-5.58009662193047,23.934449649515244
0.25,1.25,0.15000000000000002,0.44,-0.4381981790748881,-5.0717328492762315,26.79333414430314
0.25,1.25,0.15000000000000002,0.46,-0.5341161803780821,-4.512707471489791,29.001734473425266
0.25,1.25,0.15000000000000002,0.48,-0.6184544610459111,-3.9158554912469663,30.582144225881652
0.25,1.25,0.15000000000000002,0.5,-0.6905792639351467,-3.2932962135885955,31.581837932254572
0.25,1.25,0.15000000000000002,0.52,-0.7500886526908408,-2.6560455332254223,32.06214125383599
0.25,1.25,0.15000000000000002,0.54,-0.7967883027766866,-2.01383433214338,32.088772787738606
0.25,1.25,0.15000000000000002,0.56,-0.8306654694907453,-1.3751005023842122,31.72424464027247
0.25,1.25,0.15000000000000002,0.58,-0.8518641547425174,-0.7471089230791207,31.0226870852346
0.25,1.25,0.15000000000000002,0.6,-0.8606635488373391,-0.13615103721127514,30.02702563707028
0.25,1.25,0.15000000000000002,0.62,-0.8574608862687958,0.4522201686372303,28.76820054802337
0.25,1.25,0.15000000000000002,0.64,-0.842759039700026,1.0129567276046103,27.266033940410473
0.25,1.25,0.15000000000000002,0.66,-0.8171585195655622,1.5413127777785451,25.531353628364503
0.25,1.25,0.15000000000000002,0.68,-0.7813530425496301,2.032693696773887,23.569016552884634
0.25,1.25,0.15000000000000002,0.7000000000000001,-0.7361274672545703,2.4825719142265807,21.38149936598611
0.25,1.25,0.15000000000000002,0.72,-0.6823566762707352,2.886477442854623,18.972721588695933
0.25,1.25,0.15000000000000002,0.74,-0.621003884214653,3.2400642135220026,16.351740417627312
0.25,1.25,0.15000000000000002,0.76,-0.5531169093760253,3.539245764108118,13.535925699844388
0.25,1.25,0.15000000000000002,0.78,-0.47982114721581276,3.7803859884188014,10.553217488714552
