L,v0,C,t,angle,velocity,accel
0.3,5.0,0.0,0.14,1.957341312087761,0.5872110979782412,-30.28729895538689
0.3,5.0,0.0,0.16,1.9630352781536797,-0.017579093793019085,-30.21661547002615
0.3,5.0,0.0,0.18,1.9566375760746253,-0.6224565576385594,-30.29596682523728
0.3,5.0,0.0,0.2,1.9381166939422316,-1.2303763587779364,-30.51868089671285
0.3,5.0,0.0,0.22,1.9073841875867217,-1.844031583538157,-30.86510750311974
0.3,5.0,0.0,0.24,1.864302613353962,-2.465584439072141,-31.301596166798763
0.3,5.0,0.0,0.26,1.8086990084119539,-3.0963718363085735,-31.7789841031024
0.3,5.0,0.0,0.28,1.7403846286105438,-3.7365780588405153,-32.230896769132926
0.3,5.0,0.0,0.3,1.65918153019175,-4.384875654496467,-32.57235783958433
0.3,5.0,0.0,0.32,1.5649565999051016,-5.03804725560667,-32.699442427178646
0.3,5.0,0.0,0.34,1.457663056708879,-5.690619297230211,-32.49095722000217
0.3,5.0,0.0,0.36,1.3373887585455961,-6.334558873771749,-31.813303355689797
0.3,5.0,0.0,0.38,1.2044093500158175,-6.959109314836711,-30.52962848617121
0.3,5.0,0.0,0.4,1.0592425331092385,-7.550857556053798,-28.51390713595175
0.3,5.0,0.0,0.42,0.9026978572440801,-8.09413021776236,-25.669535049634696
0.3,5.0,0.0,0.44,0.7359146419104824,-8.571791273748245,-21.950378074601122
0.3,5.0,0.0,0.46,0.5603797913437785,-8.96645361376009,-17.38030963017638
0.3,5.0,0.0,0.48,0.3779177816826448,-9.262021827435605,-12.06584168360647
0.3,5.0,0.0,0.5,0.1906480534246649,-9.445372339213693,-6.196494559952227
0.3,5.0,0.0,0.52,0.0009097115121679024,-9.5078899029313,-0.029747562344833355
0.3,5.0,0.0,0.54,-0.18884047853408728,-9.446552400448372,6.138447704320751
0.3,5.0,0.0,0.56,-0.37614517818970417,-9.264325342917003,12.011948862918917
0.3,5.0,0.0,0.58,-0.558663640320658,-8.969774712622177,17.332749004565034
0.3,5.0,0.0,0.6,-0.7342739148635222,-8.57598760539816,21.910580934956755
0.3,5.0,0.0,0.62,-0.9011484462900061,-8.099039099049197,25.638117108789764
0.3,5.0,0.0,0.64,-1.0577970171053792,-7.556311671300581,28.49073793841902
